runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_1x2,lay,Todos,U25 1.60-2.20,Todos,TOP 3,104,6,94.23076923076923,91.52128303736376,2.7094861934054637,10.75,2.9855582015064814,-1.8566744439443135,7.3607088026713425,0.1155,36,0,,0,,104,2.9855582015064814,False,INCONCLUSIVO
Under15_HT,lay,fav<=1.40,Todos,Todos,Todos,197,97,50.76142131979695,46.66332582089897,4.098095498897986,1.8,10.127313939546658,-5.639135136973732,25.534871595765647,0.116,30,0,,0,,197,10.127313939546658,False,INCONCLUSIVO
CS_1x2,back,fav1.40-1.80,Todos,fav casa,Todos,483,450,6.8322981366459645,5.445587237310964,1.3867108993350001,20.0,29.604554865424433,-17.31447630540551,81.91471479920335,0.119,35,0,,0,,483,29.604554865424433,False,INCONCLUSIVO
CS_3x0,back,fav1.40-1.80,U25>2.20,fav casa,Todos,246,221,10.162601626016265,7.431903904503471,2.730697721512794,14.5,30.07113821138211,-20.85036984226005,84.84808884297512,0.119,33,0,,0,,246,30.07113821138211,False,INCONCLUSIVO
CS_2x0,back,fav<=1.40,U25>2.20,fav casa,Todos,136,113,16.911764705882348,12.36958982484602,4.5421748810363285,8.7,35.382352941176464,-15.844687500000006,99.46455709645174,0.1195,29,0,,0,,136,35.382352941176464,False,INCONCLUSIVO
CS_2x0,back,Todos,Todos,fav casa,TOP 3,106,84,20.75471698113207,14.66684969393152,6.0878672872005515,7.0,29.915094339622634,-15.76796383647799,81.55727201257862,0.12,36,0,,0,,106,29.915094339622634,False,INCONCLUSIVO
D,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,220,42,80.9090909090909,77.72072235654217,3.188368552548737,4.3,4.114500759814277,-3.2900861555006142,9.60292965458235,0.12,30,0,,0,,220,4.114500759814277,False,INCONCLUSIVO
Over05_HT,lay,Todos,U25<=1.60,Todos,Todos,274,151,44.8905109489051,42.46076510546789,2.4297458434372086,1.68,6.180827915029385,-3.93819608326198,19.302359393730793,0.1215,34,0,,0,,274,6.180827915029385,False,INCONCLUSIVO
Under15_FT,lay,Todos,Todos,fav casa,TOP 3,104,33,68.26923076923077,61.9961828877359,6.273047881494875,2.52,10.162003213037183,-7.382145932545714,26.50906798058924,0.123,36,0,,0,,104,10.162003213037183,False,INCONCLUSIVO
Over25_HT,back,fav<=1.40,Todos,Todos,Todos,132,96,27.27272727272727,24.323077834314837,2.9496494384124325,4.6,17.695454545454538,-11.608374236435502,47.67563629125643,0.1235,27,0,,0,,132,17.695454545454538,False,INCONCLUSIVO
